Mountain,Metres,Feet,Range,Location
Kodachadri,1343,4406,no range specified,Shimoga  Karnataka  India
Mount Jiuhua,1342,4403,no range specified,Anhui  China
Mount Aniakchak,1341,4400,no range specified,Alaska  US
Mount Mansfield,1339,4393,no range specified,Green Mountains  Vermont  US
Cerro de Punta,1338,4390,no range specified,Jayuya  Puerto Rico
Mount Bassie,1311,4301,no range specified,Alaska  US
Ben Macdui,1309,4295,no range specified,Scotland  United Kingdom
Mount Kanaga,1307,4288,no range specified,Alaska  US
Sinhagad,1303,4275,no range specified,Maharashtra  India
Mount Heng (Hunan),1300,4265,no range specified,Hunan  China
Braeriach,1296,4252,no range specified,Scotland  United Kingdom
Rajabasa,1281,4203,no range specified,Sumatra  Indonesia
Mount Vesuvius,1281,4203,no range specified,Italy
Mount Ophir,1276,4186,no range specified,Titiwangsa Mountains  Johor  Malaysia
Bailadila,1276,4186,no range specified,India
Mount Wellington,1271,4170,no range specified,Tasmania  Australia
Mount Si,1270,4167,no range specified,Washington  US
Mount Qingcheng,1260,4134,no range specified,Sichuan  China
Detunata,1258,4127,no range specified,Romania
Mount Donna Buang,1250,4101,no range specified,Victoria  Australia
Kīlauea,1247,4091,no range specified,Hawaii 
Camel's Hump,1244,4081,no range specified,Vermont  US
Cannon Mountain,1240,4068,no range specified,New Hampshire  US
The Priest,1238,4062,no range specified,Blue Ridge Mountains  Virginia  US
Aonach Beag,1234,4049,no range specified,Scotland  United Kingdom
Grouse Mountain,1231,4039,no range specified,British Columbia  Canada
Kaʻala,1220,4003,no range specified,Oahu  Hawaii  US
Mount Jerai,1217,3993,no range specified,Titiwangsa Mountains  Kedah  Malaysia
Mount Meron,1208,3963,no range specified,Galilee  Israel
Mount Fromme,1185,3888,no range specified,British Columbia  Canada
Doi Ian,1174,3852,no range specified,Phi Pan Nam Range  Thailand
Mount Diablo,1173,3848,no range specified,California  US
Mount Hombori,1155,3789,no range specified,Mali
Lochnagar,1155,3789,no range specified,Scotland
Bidean nam Bian,1150,3773,no range specified,Scotland
Monte Musinè,1150,3773,no range specified,Piedmont  Italy
Brocken,1141,3743,no range specified,Saxony-Anhalt  Germany
Victoria Peak,1120,3675,no range specified,Belize
Gora Sovetskaya,1096,3596,no range specified,Wrangel Island  Chukotka
Kayser Mountain,1094,3589,no range specified,Greenland  Denmark
Mount Juneau,1090,3576,no range specified,Alaska  US
Snowdon,1085,3560,no range specified,Gwynedd  Wales  United Kingdom
Tafelberg,1085,3560,no range specified,South Africa
Flattop Mountain,1070,3510,no range specified,Alaska  US
Uummannaq,1070,3510,no range specified,Greenland
White Butte,1069,3507,no range specified,North Dakota  US
Hogback Mountain,1059,3474,no range specified,Virginia  US
Liathach,1055,3461,no range specified,Torridon  Scotland
Saka Haphong,1052,3451,no range specified,Bandarban  Bangladesh
Cambirela,1043,3422,no range specified,Palhoça  Brazil
Corrán Tuathail,1038,3406,no range specified,County Kerry  Ireland
Mount Ramon,1037,3402,no range specified,Negev  Israel
Girnar,1031,3383,no range specified,
Mount Zagora,1030,3379,no range specified,Morocco
Buachaille Etive Mor,1022,3353,no range specified,Glen Etive  Scotland
Munboksan,1015,3330,no range specified,South Korea
Kékes,1014,3327,no range specified,Hungary
Mount Belumut,1010,3314,no range specified,Johor  Malaysia
Old Rag Mountain,1001,3284,no range specified,Virginia  US
Magura Priei,996,3268,no range specified,Romania
Sgurr Dearg,986,3235,no range specified,Scotland
Mount Sizer,980,3215,no range specified,US 
Mount Valin,980,3215,no range specified,Canada 
Hyangnosan,979,3212,no range specified,Gyeongnam Province  South Korea
Scafell Pike,978,3209,no range specified,England 
Mount Edgecumbe,976,3202,no range specified,US 
Grand Bonhomme,973,3192,no range specified,Saint Vincent and the Grenadines
North Mountain (Catskills),969,3179,no range specified,US 
Doli Gutta,965,3166,no range specified,India
Mount Monadnock,965,3166,no range specified,US 
Mount Pirongia,959,3146,no range specified,New Zealand
Tai Mo Shan,957,3140,no range specified,Hong Kong
Chimneytop,950.1,3117,no range specified,Tennessee  US
Helvellyn,950,3117,no range specified,England 
Mount Gimie,950,3117,no range specified,Saint Lucia
El Cerro del Aripo,940,3084,no range specified,Trinidad and Tobago
El Tucuche,936,3071,no range specified,Trinidad and Tobago
Lantau Peak,934,3064,no range specified,Hong Kong
Betlingchhip,930,3051,no range specified,India
Kaimondake volcano,924,3031,no range specified,Kagoshima  Japan
San Salvatore,912,2992,no range specified,Ticino  Switzerland
Pantokrator,906,2972,no range specified,Greece 
Edinburgh Peak,904,2966,no range specified,Tristan Da Cunha  UK
Cadair Idris,893,2930,no range specified,Wales
Pen y Fan,886,2907,no range specified,Wales
Baekunsan,885,2904,no range specified,Ulsan  South Korea
Mount Gerizim,881,2890,no range specified,West Bank
Sunset Peak,869,2851,no range specified,Hong Kong
Mahuli,858,2815,no range specified,Thane District  Maharashtra  India
Mount Taylor,856,2808,no range specified,Canberra  Australia
Slieve Donard,856,2808,no range specified,County Down  Northern Ireland
Tinakula,851,2792,no range specified,Solomon Islands
Muntele Cetatuia,850,2789,no range specified,Romania
Mount Saint Catherine,840,2756,no range specified,Grenada
Mount Magazine,839,2753,no range specified,Arkansas  US
Hoemunsan,837,2746,no range specified,North Jeolla Province  South Korea
Bukhansan,836.5,2744,no range specified,Seoul  South Korea
Drocea,836,2743,no range specified,Romania
Piton de la Petite Rivière Noire,828,2717,no range specified,Black River Mountain Range  Mauritius
Pieter Both (mountain),820,2690,no range specified,Mauritius
Mount Carleton,817,2680,no range specified,Canada 
The Cheviot,815,2674,no range specified,England 
Le Pouce,811,2661,no range specified,Mauritius
Mount Santubong,810,2657,no range specified,Malaysia 
Gros Morne,807,2648,no range specified,Canada 
Clisham,799,2621,no range specified,Harris  Western Isles  Scotland
Mount Tamalpais,792,2598,no range specified,US 
Mission Peak,790,2592,no range specified,US 
Gyemyeongsan,774,2539,no range specified,North Chungcheong Province  South Korea
Mount Boucherie,758,2487,no range specified,Canada 
Daeunsan,742,2434,no range specified,South Korea
Mount Dobong,740,2428,no range specified,South Korea
Mount Lofty,727,2385,no range specified,South Australia
Ben Cleuch,721,2365,no range specified,Scotland
Corps de Garde,720,2362,no range specified,Mauritius
Gaseopsan,710,2329,no range specified,North Chungcheong Province  South Korea
Mount Dick,705,2313,no range specified,Auckland Islands 
Piton Savanne,704,2310,no range specified,Mauritius
Pu,698,2290,no range specified,US 
Signal de Botrange,694,2277,no range specified,Belgium 
Ishpatina Ridge,690,2264,no range specified,Canada 
Curepipe Point,686,2251,no range specified,Mauritius
Galgisan,685,2247,no range specified,Gyeonggi Province and Gangwon Province  South Korea
Delphi,681,2234,no range specified,Greece 
Qalorujoorneq,676,2218,no range specified,Greenland
Lion's Head,669,2195,no range specified,Cape Town  South Africa
Les Trois Mamelles,666,2185,no range specified,Mauritius
Steling,658,2159,no range specified,Belgium
Maple Mountain,642,2106,no range specified,Canada 
Mountain Lagrave,638,2093,no range specified,Mauritius
Kinder Scout,636,2087,no range specified,Peak District  England
Masaya Volcano,635,2083,no range specified,Nicaragua
Calebasses Mountain,632,2073,no range specified,Mauritius
Mount D'Urville,630,2067,no range specified,Auckland Islands 
Moel Eilio,629,2064,no range specified,Snowdonia  Wales
High Willhays,621,2037,no range specified,England 
Snaefell,621,2037,no range specified,Isle of Man  British Isles
Beinn Mhòr,620,2034,no range specified,South Uist  United Kingdom
Munsusan (Ulsan),600,1969,no range specified,Ulsan  South Korea
Mount Takao,599,1965,no range specified,Tokyo  Japan
Piton de Fouge,596,1955,no range specified,Mauritius
Sikjangsan,596,1955,no range specified,Daejeon  South Korea
Forbordsfjellet,590,1936,no range specified,Nord-Trøndelag  Norway
Piton du Millieu,589,1932,no range specified,Mauritius
Gwanggyosan,582,1909,no range specified,Gyeonggi Province  South Korea
Mount Pond,576,1890,no range specified,South Shetland Islands
Mount Tabor,575,1886,no range specified,Galilee  Israel
Monte Conero,572,1877,no range specified,Italy 
Gyeryongsan,566,1857,no range specified,South Gyeongsang Province  South Korea
Mount Honey,558,1831,no range specified,Campbell Islands 
Le Morne Brabant,555,1821,no range specified,Mauritius
Tourelle du Tamarin,548,1798,no range specified,Mauritius
Rempart Mountain,545,1788,no range specified,Mauritius
Palasip Qaqqaa,544,1785,no range specified,Qeqqata  Greenland
Namamsan,543,1781,no range specified,Ulsan  South Korea
Taum Sauk Mountain,540,1772,no range specified,Missouri  US
Great Mell Fell,537,1762,no range specified,England 
Geomdansan (Seongnam),534.7,1754,no range specified,Gyeonggi Province  South Korea
Mountain Blanche,532,1745,no range specified,Mauritius
Yeonhwasan,532,1745,no range specified,Ulsan  South Korea
Heukseongsan,519,1703,no range specified,North Chungcheong Province  South Korea
Avala,511,1677,no range specified,Serbia
Mountain La Terre,504,1654,no range specified,Mauritius
Lion Mountain,480,1575,no range specified,Mauritius
Little Si,480,1575,no range specified,Washington  US
Mount Ramsay,475,1558,no range specified,Antarctica
Tutuiatu Peak,467,1532,no range specified,Romania
Mount Keira,462,1516,no range specified,New South Wales  Australia - near the city of
Pu'u Moaulanui,452,1483,no range specified,Kahoolawe  Hawaii
Blue Mountain,452,1483,no range specified,Ontario  Canada
Muryongsan (Ulsan),452,1483,no range specified,Ulsan  South Korea
Achladokambos,450,1476,no range specified,Achadokambos  Greece
Dongdaesan (Ulsan),447,1467,no range specified,Ulsan  South Korea
Diamond Hill,442,1450,no range specified,Ireland
Gibraltar,426,1398,no range specified,Gibraltar
Pic Paradis,424,1391,no range specified,Saint Martin
Havsula,415,1362,no range specified,Svalbard  Norway
Storm King Mountain,408,1339,no range specified,US 
Gyeyangsan,395,1296,no range specified,Incheon  South Korea
Mount Galloway,366,1201,no range specified,Antipode Islands  New Zealand
Pawala Valley Ridge,347,1138,no range specified,Pitcairn Islands
Loughrigg Fell,335,1099,no range specified,England 
Mount Kinka (Gifu),329,1079,no range specified,Gifu  Japan
Vaalserberg,321,1053,no range specified,Netherlands 
Mount Bates,319,1047,no range specified,{{{4}}}
Suur Munamägi,318,1043,no range specified,Haanja  Estonia
Gaiziņkalns,312,1024,no range specified,Latvia
Mutla Ridge,306,1004,no range specified,Kuwait
Aukštojas,293.84,964,no range specified,Medininkai  Lithuania
Kruopinė,293.65,963,no range specified,Vilnius  Lithuania
Juozapinė,292.7,960,no range specified,Vilnius  Lithuania
Morne du Vitet,286,938,no range specified,Saint Barthélemy
Qixia Mountain,286,938,no range specified,Nanjing  China
Hwajangsan,285,935,no range specified,Ulsan  South Korea
Potolaka/Putuo Shan,284,932,no range specified,Zhejiang  China
Westmacott,253,830,no range specified,New South Wales  Australia
Jerimoth Hill,247,810,no range specified,Rhode Island  US
Mount Ngerchelchuus,242,794,no range specified,Babeldaob 
Diamond Head,232,761,no range specified,US 
Yeomposan,203,666,no range specified,Ulsan  South Korea
Hamwolsan,200,656,no range specified,Ulsan  South Korea
Great Blue Hill,193.5,635,no range specified,Massachusetts  US
Alto de Coloane,170,558,no range specified,Macau
Bukit Timah Hill,164,538,no range specified,Singapore
Himmelbjerget,147,482,no range specified,Silkeborg 
Les Platons,143,469,no range specified,Jersey 
Aborrebjerg,143,469,no range specified,Møn 
Māngere Mountain,107,351,no range specified,New Zealand
Britton Hill,105,344,no range specified,Florida  US
Qurayn Abu al Bawl,103,338,no range specified,Qatar
Command Ridge,71,233,no range specified,Nauru
Mount Wycheproof,43,141,no range specified,Victoria  Australia
Hoge Blekker,35,115,no range specified,West Flanders  Belgium
Bentenyama,6.1,20,no range specified,Tokushima  Tokushima Prefecture  Japan
Mount Pleasant,5,16,no range specified,Texas  US
Mount Tenpō,4.53,15,no range specified,Osaka  Japan
Tianzhong Mountain,3.6,12,no range specified,Henan Province  China
Mount Hiroyama,3,10,no range specified,Sendai  Japan
Jing Mountain,0.6,2,no range specified,Shandong Province  China
